Word,Type,Sentiment
bedachtzaamheid,n,++
bedanken,v,+
bedelaar,n,-
bedelen,v,-
bedelzak,n,--
bedenkelijk,a,-
bedenken,v,+
bedenker,n,+
bederf,n,--
bedompt,a,-
bedotten,v,--
bedreigen,v,--
bedreigend,a,--
bedreiging,n,-
bedremmeld,a,--
bedreven,a,++
bedrevenheid,n,++
bedrieger,n,--
bedriegerij,n,--
bedrieglijk,a,--
bedroefd,a,--
bedroefdheid,n,--
bedroeven,v,-
bedroevend,a,--
bedrog,n,--
bedruktheid,n,-
beducht,a,-
beduusd,a,-
beduvelarij,n,--
bedwelmd,a,-
bedwelmen,v,--
beest,n,-
beestachtig,a,-
beestenbende,n,--
beestenboel,n,-
beestmens,n,--
begaafd,a,++
begeerte,n,+
begeesterd,a,-
begeestering,n,++
begeleiding,n,+
begenadigd,a,++
begeren,v,+
begerig,a,+
begiftigen,v,--
beginsel,n,+
begoochelen,v,-
begrijpelijk,a,+
begrijpen,v,+
begunstigde,n,+
behaard,a,--
behagen,n,++
beheersbaar,a,+
beheersing,n,+
behendig,a,++
behendigheid,n,++
behoeftig,a,-
behoeftigheid,n,-
bejaarde,n,-
bekakt,a,--
bekend,a,+
bekendheid,n,+
bekennen,v,-
bekeuring,n,--
beklaagde,n,--
beklemd,a,--
beklemming,n,-
bekoelen,v,--
bekommerd,a,++
bekoorlijk,a,++
bekoren,v,+
bekritiseren,v,-
bekrompen,a,--
bekvechten,v,-
bekwaam,a,++
bekwaamheid,n,++
belabberd,a,--
belachelijk,a,--
beladen,v,-
belagen,v,--
belager,n,--
belang,n,+
belangrijk,a,+
belastend,a,--
belazeren,v,--
beledigd,a,--
beledigen,v,-
belediging,n,--
beleefd,a,++
beleefdheid,n,++
belegeren,v,--
belegering,n,--
belemmeren,v,-
belemmering,n,--
beletsel,n,--
beleven,v,+
belofte,n,+
belonen,v,+
beloning,n,+
bemiddeld,a,+
beminde,n,++
beminnaar,n,+
beminnelijk,a,++
beminnen,v,+
bemoedigend,a,++
bemoeilijken,v,--
bemoeiziek,a,--
benadeelde,n,--
benauwd,a,--
bende,n,--
bendelid,n,-
benig,a,-
benigne,a,?
beoordelaar,n,-
beperken,v,-
beperking,n,--
beperkt,a,--
bepleiter,n,+
beregoed,a,++
bereid,a,+
bereidheid,n,++
bereiken,v,+
berekenbaar,a,++
bergopwaarts,a,++
berispen,v,--
berisping,n,-
beroemd,a,++
beroemdheid,n,++
beroepskracht,n,++
beroerd,a,--
beroeren,v,+
beroering,n,-
beroerling,n,--
beroerte,n,-
berouw,n,+
berouwvol,a,--
beroven,v,-
berucht,a,+
berusten,v,+
beschaamd,a,--
beschamend,a,--
beschaving,n,+
bescheiden,n,++
bescheidenheid,n,+
beschermen,v,+
beschermer,n,++
bescherming,n,++
bescheuren,v,+
beschimmeld,a,--
beschimpen,v,-
beschonkene,n,-
beschuldigde,n,--
beschuldigen,v,-
beschuldiging,n,--
besef,n,+
besje,n,-
beslechten,v,-
beslommeringen,n,--
besluiteloos,a,--
besluiteloosheid,n,--
besluitvaardig,a,++
besluitvaardigheid,n,+
besmet,a,-
besmetten,v,--
besmetting,n,--
besodemieterd,a,--
bespieden,v,-
bespottelijk,a,--
bespotten,v,--
bespraakt,a,+
best,a,++
best,n,++
bestendigheid,n,+
bestialiteit,n,--
bestoken,v,-
bestraffen,v,-
beter,a,++
beteugelen,v,-
beteuterd,a,--
betoeterd,a,--
betoveren,v,+
betrappen,v,--
betrekking,n,+
betreuren,v,-
betreurenswaard,a,--
betreurenswaardig,a,--
betrokken,a,+
betrouwbaar,a,++
betrouwbaarheid,n,++
betwistbaar,a,-
beul,n,--
beuzelaar,n,--
beuzelachtig,a,--
beuzelarij,n,--
bevallen,v,+
bevestigend,a,++
bevlekken,v,-
bevoegd,a,++
bevordering,n,+
bevorderlijk,a,++
bevredigend,a,++
bevrediging,n,++
bevreemding,n,--
bevreesd,a,--
bevrijden,v,++
bevrijding,n,++
beweeglijk,a,+
beweging,n,+
bewenen,v,--
beweren,v,-
bewering,n,-
bewerkelijk,a,-
bewonderaar,n,++
bewonderenswaard,a,++
bewonderenswaardig,a,++
bewondering,n,+
bezeten,a,--
bezetene,n,--
bezielen,v,-
bezieling,n,++
bezig,a,+
bezighouden,v,-
bezitter,n,+
bezoedeling,n,-
bezopen,a,--
bezorgd,a,-
bezwaar,n,-
bezwaarlijk,a,--
bezwaren,v,-
bezwendelen,v,--
bezwijken,v,--
bias,n,-
biecht,n,-
big,boss,n
big,shot,n
bigotterie,n,-
bijeenzijn,v,+
bijgeloof,n,--
bijgelovig,a,-
bijstandsvrouw,n,-
bijten,v,-
bikkelhard,a,++
billijk,a,++
billijken,v,+
bindvliesontsteking,n,-
bink,n,++
binnenloodsen,v,+
binnenskamers,b,-
bitter,a,--
bitter,n,--
bizar,a,-
blaam,n,--
blaaskaak,n,--
blaffen,v,-
bleek,n,-
bleekneus,n,-
blieven,v,-
blij,a,++
blijde,a,++
blijdschap,n,++
blijheid,n,++
bliksemen,v,-
blind,n,-
blindelings,a,+
blindheid,n,-
blitskikker,n,-
blode,a,-
bloed,n,-
bloedarm,a,--
bloedbad,n,--
bloedeloos,a,-
bloedgetuige,n,-
bloedhond,n,-
bloedlink,a,--
bloedspoor,n,--
bloedvergieten,n,--
bloeien,v,+
bloemengeur,n,+
bloemig,a,++
blokkeren,v,-
blond,a,-
bluffen,v,-
bluffer,n,-
blunder,n,--
bobo,n,-
bochtig,a,--
boef,n,--
boegbeeld,n,+
boeien,v,+
boekworm,n,-
boemelaar,n,--
boerenhufter,n,--
boerenkaffer,n,--
boerenkinkel,n,--
boerenlul,n,--
boerenpummel,n,--
boerentrien,n,--
