Word,Type,Sentiment
getroebleerd,a,?
getrouwheid,n,+
getto,n,--
geurig,a,+
gevaar,n,-
gevaarlijk,a,--
gevaarvol,a,-
gevangene,n,-
gevangenis,n,--
gevarieerd,a,+
gevecht,n,--
geven,v,+
geverseerd,a,?
gevierd,a,++
gevoelig,a,+
gevoeligheid,n,-
gevoelloos,a,--
gevoelsarm,a,--
gevoelsmatig,a,+
gewaad,n,-
gewauwel,n,--
geweeklaag,n,--
gewelddelict,n,--
geweldenaar,n,--
geweldig,a,++
gewend,a,+
gewenst,a,++
geweten,n,+
gewetenloos,a,--
gewichtigheid,n,+
gewiekstheid,n,+
gewijd,a,++
gewonde,n,--
gewoon,a,+
gewoontjes,a,--
gewrichtsontsteking,n,-
gewrichtspijn,n,-
gewrichtsreuma,n,-
gewrichtsziekte,n,-
gezant,n,+
gezellig,a,++
gezelligheidsdier,n,++
gezet,a,-
gezond,a,++
gezwam,n,--
gezwets,n,--
gezwind,a,+
geëmmer,n,--
geïsoleerd,a,-
giebelen,v,+
giechelen,v,+
gieren,v,+
gierigaard,n,--
gierigheid,n,--
gierstroom,n,-
gif,n,--
gifbeker,n,--
giftig,a,--
gijzelaar,n,--
ginnegappen,v,+
gissing,n,-
glad,a,-
gladgeschoren,a,++
gladjes,a,--
glamour,n,++
glamourgirl,n,+
glans,n,++
glansrijk,a,++
glashelder,a,++
glazig,a,-
glimlachen,v,+
glimmer,n,+
glitter,n,++
glitterrock,n,+
gloed,n,+
glorie,n,++
glos,n,+
gluiper,n,--
gniffelen,v,-
gnuiven,v,-
goddelijk,a,++
goddeloos,a,--
goddeloze,n,--
godgevloekt,a,--
godheid,n,++
godin,n,+
godsbode,n,+
godsgezant,n,+
godsjammerlijk,a,--
godslastering,n,--
godslasterlijk,a,--
godverlaten,a,--
goed,n,+
goedgebekt,a,++
goedheid,n,++
goedkeuren,v,+
goedkeuring,n,+
goedkoop,a,-
goedlachs,a,++
goedlopend,a,++
goedsmoeds,a,++
gokken,v,-
goodwill,n,++
goof,n,+
goorlap,n,--
gortdroog,a,--
goud,n,+
goudmijn,n,++
goudvink,n,+
goudzoeker,n,+
graag,a,++
graag,b,++
graf,n,--
graflucht,n,--
gram,n,-
gramschap,n,--
grand,prix,n
grandeur,n,+
grandioos,a,++
grap,n,+
grappenmaker,n,+
grappig,a,++
gratie,n,++
gratuit,a,-
grauwen,v,-
grenzeloos,a,+
gretig,a,--
gretigheid,n,--
grienerig,a,--
griet,n,-
grieven,v,-
grievend,a,--
griezelig,a,-
grijns,n,++
grijnslachen,v,--
grijnzen,v,+
grijsaard,n,-
grillig,a,-
grimas,n,--
grimlachen,v,+
grimmig,a,--
grinniken,v,+
grobbejanus,n,--
groef,n,-
groen,n,-
groet,n,+
groeten,v,+
grof,a,--
grogstem,n,-
grondig,a,++
grondlegger,n,+
groot,a,+
groot,n,+
grootdoener,n,--
groothartig,a,++
grootheid,n,++
grootmeester,n,++
grootmoedig,a,-
grootsheid,n,+
grootspreken,v,--
grootspreker,n,--
grot,n,-
grotesk,a,++
groteske,n,++
gruwel,n,--
gruweldaad,n,--
gruwelijk,a,--
gruwelijkheid,n,--
gruwzaam,a,--
gul,a,++
gunnen,v,++
gunsteling,n,--
gunstig,a,++
guts,n,+
gênant,a,--
haalbaar,a,++
haantje,n,-
haantje-vooruit,n,--
haantjesgedrag,n,--
haarfijn,a,++
haarklover,n,--
haast,n,-
haasvreter,n,--
haat,n,-
habiel,a,?
hagel,n,-
hakkelen,v,-
half,a,--
halfezel,n,--
halfgaar,a,--
halfgod,n,+
halfluid,a,-
halfslachtig,a,--
halfwijs,a,--
halfzacht,a,-
hallucinatie,n,-
halsstarrig,a,--
halvezool,n,--
handarbeider,n,-
handig,a,++
handvaardig,a,++
hangen,v,-
hangerig,a,--
hangmat,n,+
hannes,n,-
hansworst,n,--
hard,a,-
hard-drug,n,-
harder,n,+
hardhoofdig,a,-
hardliner,n,--
hardnekkig,a,--
haringkaker,n,-
harmonie,n,+
harmonieus,a,++
harmonisch,a,++
harmoniseren,v,++
harmoniëren,v,++
hart,n,+
hartbrekend,a,--
hartedief,n,++
hartediefje,n,++
harteloos,a,--
hartendief,n,++
hartendiefje,n,++
hartje,n,+
hartroerend,a,++
hartstochtelijk,a,++
hartverscheurend,a,-
hartverwarmend,a,++
hatelijk,a,--
haten,v,--
hautain,a,--
have-not,n,--
have-nots,n,--
hebberig,a,--
hebzucht,n,--
hebzuchtig,a,--
hecht,a,+
hechten,v,+
hedonist,n,--
heelmeester,n,++
heengaan,n,--
heer,n,+
heerlijk,a,++
heerlijkheden,n,++
heerlijkheid,n,++
heerschap,n,+
heftig,a,+
heibel,n,--
heiden,n,--
heikneuter,n,--
heil,n,+
heilig,a,++
heiligdom,n,+
heilige,n,++
heiligen,v,+
heiligheid,n,++
heilloos,a,--
heilsleer,n,+
heilsoldaat,n,++
heilssoldaat,n,++
heisa,n,--
heksenmeester,n,-
hel,a,--
hel,n,--
held,n,++
helder,a,++
helderheid,n,++
heldhaftig,a,++
heldhaftigheid,n,+
heldin,n,++
hellend,a,-
helleveeg,n,--
hellevorst,n,--
helper,n,++
hels,a,--
hemel,n,+
hepatitis,n,-
heraldicus,n,++
herenigen,v,++
hereniging,n,+
heresie,n,-
herleven,v,+
heroiek,n,++
heroisch,a,++
heroïneverslaving,n,--
herrie,n,--
herriemaker,n,--
herrieschopper,n,--
herrijzen,v,+
herroepen,v,-
hersenaandoening,n,-
hersenbloeding,n,-
hersenkronkel,n,-
hersenletsel,n,-
hersenschim,n,-
hersenspinsel,n,--
hersenspoelen,v,--
herstel,n,+
herstellen,v,+
hiaat,n,--
high,profile,n
hijgerig,a,-
hilarisch,a,++
hilariteit,n,+
hinder,n,-
hinderen,v,-
hinderlaag,n,-
hinderlijk,a,--
hindernis,n,-
hinderpaal,n,-
hinniken,v,-
hip,n,++
hobbel,n,-
hobbezak,n,--
hoeksteen,n,+
hoempamuziek,n,-
hoempapamuziek,n,-
hoereerder,n,--
hoerenbaas,n,--
hoerenjager,n,--
hoerenloper,n,--
hoffelijk,a,++
hoffelijkheid,n,++
hokjesmentaliteit,n,--
hol,n,-
homo,n,-
hond,n,-
hondelul,n,--
hondenkenner,n,+
hondenlul,n,--
hondsmoeilijk,a,-
honger,n,-
hongerdood,n,--
hongerig,a,-
hongerlijder,n,-
hongersnood,n,--
honneur,n,++
honorabel,a,++
hoofdpijn,n,--
hoofs,a,+
hoogachting,n,+
hooghartig,a,--
hoogmoed,n,--
hoogmoedig,a,--
hoon,n,--
hoopvol,a,++
hopelijk,b,+
hopeloos,a,--
hopen,v,+
hopsen,v,+
horde,n,-
horendol,a,--
hork,n,--
horror,n,-
hospitaalridder,n,++
hospitium,n,+
hostiliteit,n,--
hoteldebotel,a,+
hotemetoot,n,-
hotemetotem,n,-
houden,v,+
hovaardig,a,++
hufter,n,--
huichelaar,n,--
huichelarij,n,--
huiduitslag,n,-
huilen,v,--
huilerig,a,--
huiselijk,a,+
huishoudkundige,n,-
hulde,n,++
hulpeloos,a,--
humanist,n,+
humor,n,++
humorist,n,++
humorloos,a,--
hunkeren,v,+
husselen,v,-
huwelijk,n,+
huwelijksmoeilijkheden,n,--
huwelijksreis,n,+
huwelijkssluiting,n,+
hypocriet,a,--
hypocriet,n,--
hypocrisie,n,--
hysterie,n,-
ideaal,n,++
idealiseren,v,-
idealisme,n,+
idealist,n,+
idee-fixe,n,--
identiek,a,+
idioot,n,--
idiotie,n,--
idiotisme,n,--
iel,a,--
ignorant,a,--
ignorant,n,--
ijlen,v,--
ijver,n,++
ijverig,a,++
ijzersterk,a,++
ijzervreter,n,-
illegaal,a,-
illusie,n,-
illusionair,a,-
illusoir,a,--
imago,n,+
imbeciel,n,--
imitatie,n,-
imitator,n,-
immoreel,a,--
impasse,n,--
impediëren,v,-
implementeren,v,+
imploderen,v,--
impopulair,a,--
importantie,n,+
impotent,a,-
improductief,a,--
impulsief,a,+
inaccuraat,a,--
inactief,a,-
inactiviteit,n,-
inbezitneming,n,-
inbraak,n,-
inbreuk,n,-
incident,n,-
incoherent,a,--
incoherentie,n,-
incompetent,a,--
incompetentie,n,--
inconsequent,a,--
inconsequentie,n,-
inconsistent,a,-
inconsistentie,n,--
incorrect,a,--
indiscretie,n,--
indoctrinatie,n,--
indolent,a,--
indonderen,v,--
indrukwekkend,a,++
ineengedoken,a,-
ineenkrimpen,v,-
ineenkronkelen,v,--
ineenstorting,n,-
ineffectief,a,--
inefficiënt,a,--
inefficiëntie,n,--
inept,a,-
ineptie,n,-
inert,a,-
inertie,n,-
inexact,a,-
inexplicabel,a,?
inferieur,n,--
inferioriteit,n,--
inferno,n,--
infiltrant,n,--
infiltreren,v,-
inflexibel,a,--
infractie,n,-
ingebakken,a,+
ingebeeld,a,-
ingeschapen,a,+
ingesteld,a,+
ingewikkeld,a,-
ingezetene,n,-
ingreep,n,-
inhalig,a,--
inhameren,v,-
inhoud,n,+
inklemmen,v,-
innovatie,n,++
inpikken,v,--
insect,n,-
insekt,n,-
insinueren,v,-
insolvabiliteit,n,-
insolvent,a,-
inspiratie,n,++
inspireren,v,+
instaan,v,++
instabiel,a,--
instabiliteit,n,--
instemming,n,+
insufficiënt,a,--
insult,n,--
insulteren,v,-
intact,a,++
integriteit,n,++
intelligentie,n,+
intensief,a,+
interessant,a,++
interesse,n,++
intiem,a,+
intimidatie,n,--
intimideren,v,--
intimiteit,n,+
intolerant,a,--
intolerantie,n,--
invalide,n,-
invaliditeit,n,-
inventief,a,+
inventiviteit,n,++
invers,a,++
inzicht,n,+
inzinking,n,--
ironie,n,-
ironisch,a,-
irrationeel,a,--
irritant,a,--
irritatie,n,--
irriteren,v,--
isolement,n,-
isoleren,v,-
jachttrofee,n,+
jaloers,a,--
jaloezie,n,-
jammer,a,--
jammer,n,--
jammeren,v,--
jammerlijk,a,--
janboel,n,-
jandoedel,n,--
janken,v,-
januskop,n,--
jengel,n,--
jennen,v,--
jeremiëren,v,--
jeu,n,++
jeugdcriminaliteit,n,--
jeugdig,a,++
jeugdliefde,n,++
jeuk,n,-
jofel,a,++
johannieter,n,-
jojo,n,-
joker,n,+
jolijt,n,++
jubel,n,+
jubelen,v,+
jubelstemming,n,++
judas,n,--
judassen,v,--
juichen,v,++
juist,a,++
juistheid,n,++
junk,n,--
kaaljakker,n,--
kaalplukken,v,-
kaffer,n,--
kakelen,v,--
kakkebroek,n,-
kakkineus,a,--
kalf,n,-
kalfskop,n,-
kalm,a,++
kalmeren,v,-
kalmte,n,+
kameraad,n,++
kameraadschap,n,++
kamp,n,-
kampbeul,n,--
kampen,v,-
kampioen,n,++
kampioenschap,n,+
kanarieneuker,n,--
kanjer,n,++
kanker,n,--
kankeraar,n,--
kankerlijer,n,--
kankerzooi,n,--
kannibaal,n,-
kanon,n,+
kansarm,a,--
kansloos,a,--
kansrijk,a,++
kaperschip,n,-
kapitaalkrachtig,a,+
kapot,a,--
kapotvallen,v,--
kapsoneslijer,n,--
karakterloos,a,--
karikatuur,n,-
karwei,n,+
katalysator,n,+
kattegejank,n,--
katten,v,--
keerzij,n,-
keerzijde,n,--
kei,n,+
keiig,a,+
kelerelijder,n,--
kelerelijer,n,--
kemphaan,n,+
kenner,n,++
kennis,n,+
kennisje,n,-
kenteren,v,+
kerker,n,-
kermen,v,--
kernwapenverdrag,n,-
ketter,n,--
ketterij,n,--
keukenprinses,n,++
keurig,a,++
keutelen,v,--
keuvelen,v,-
kibbelpartij,n,--
kick,n,++
kierewiet,a,--
kieskeurig,a,--
kiezelzuur,n,-
kift,n,-
kille,n,--
killersmentaliteit,n,-
kinderachtig,a,--
kinkhoest,n,-
kirren,v,--
kits,a,+
klaaglied,n,-
klaagstem,n,--
klaagzang,n,-
klaarheid,n,+
klaarkomen,v,+
klacht,n,--
klachten,n,-
klachtencommissie,n,-
klagen,v,--
klager,n,--
klankbord,n,+
klap,n,--
kledderig,a,--
klein,a,-
kleintje,n,-
kleinzielig,a,--
klemmen,v,-
klemmend,a,-
kleppen,v,--
klerelijer,n,--
klerezooi,n,--
klerikalisme,n,-
klessebessen,v,+
klets,n,--
kletsen,v,-
kletskoek,n,--
kletsmeieren,v,-
kletspraat,n,--
kleumen,v,-
kleun,n,-
kleunen,v,-
kleurloos,a,--
kleurrijk,a,++
kleven,v,-
kleverig,a,--
kliek,n,-
klierig,a,--
kloek,a,+
kloof,n,-
kloot,n,--
kloothommel,n,--
klootspiraal,n,--
klootzak,n,--
kloris,n,--
klote,a,--
kloterig,a,--
kloterij,n,--
kloven,v,--
klungel,n,--
klungelen,v,--
klungelig,a,--
kluns,n,--
klunzerig,a,--
klunzig,a,--
knaap,n,+
knakker,n,--
knal,n,-
knap,a,++
knapperig,a,+
knar,n,--
knauwen,v,--
kneus,n,--
kneusje,n,--
knevelarij,n,--
knibbelaar,n,-
kniesoor,n,--
kniezer,n,--
knijpen,v,-
knijper,n,-
knoeien,v,-
knoeier,n,--
knoeierig,a,--
knokig,a,--
knokker,n,++
knor,n,--
knorrepot,n,--
knotsgek,a,--
knudde,a,--
knullig,a,--
knuppel,n,-
knurft,n,--
knus,a,++
knutselen,v,+
koddig,a,+
koe,n,-
koeioneren,v,-
koekebakker,n,-
koekenbakker,n,-
koel,a,-
koesteren,v,+
koffieleut,n,--
kokend,a,-
kolder,n,-
kolderiek,a,+
komediant,n,++
komedie,n,+
komiek,n,+
komisch,a,++
kommaneuker,n,--
kommer,n,--
kommerlijk,a,--
kommervol,a,--
kompaan,n,+
konkelen,v,-
konkelfoezen,v,-
koopje,n,++
koorts,n,-
koortsachtig,a,-
koper,n,+
koploper,n,++
koppig,a,--
koppigheid,n,--
kopschuw,a,--
kopstuk,n,++
kornuit,n,+
kortademig,a,-
kortademigheid,n,-
korteafstandsraket,n,-
kortzichtig,a,--
kortzichtigheid,n,--
korzelig,a,--
korzeligheid,n,--
kostbaar,a,+
kostelijk,a,+
kotsmisselijk,a,--
koud,a,-
kraaien,v,-
kracht,n,+
krachtcentrale,n,-
krachtdadig,a,++
krachteloos,a,--
krachtig,a,+
krachtmens,n,+
krachtpatser,n,-
krakemikkig,a,--
krakkemikkig,a,--
krampachtig,a,-
krankjorum,a,--
krankzinnig,a,--
krankzinnige,n,--
krankzinnigverklaring,n,--
krap,n,-
kregelheid,n,--
kregelig,a,-
kreng,n,--
krenken,v,--
krent,n,--
krentenkakker,n,--
krentenweger,n,-
kreupel,a,--
kribbebijter,n,--
kribbenbijter,n,--
kriebelen,v,-
kriebelig,a,--
kriegelig,a,-
krielhaan,n,--
krielkip,n,--
krijgshaftigheid,n,+
krijgsmacht,n,+
krijgsman,n,+
krikkemikkig,a,--
kritiek,n,-
krocht,n,-
krom,a,-
kromliggen,v,-
krompraten,v,--
kroonlid,n,+
kroonluchter,n,+
kruimig,a,+
kruistocht,n,--
krukkig,a,--
krullenbol,n,+
kuiken,n,-
kuikensekser,n,--
kuis,a,+
kuisen,v,--
kul,n,--
kunde,n,++
kundig,a,++
kundigheid,n,++
kunnen,v,+
kunst-en-vliegwerk,n,+
kunstgreep,n,-
kunstje,n,-
kunstleer,n,-
kunstlied,n,++
kus,n,++
kut,a,--
kuttekop,n,--
kuttenkop,n,--
kwaad,n,--
kwaadaardig,a,--
kwaadaardigheid,n,--
kwaaddoener,n,--
kwaal,n,--
kwal,n,-
kwalificeren,a,++
kwast,n,-
kwasterig,a,--
kwastig,a,--
kwatsch,n,--
kwebbelen,v,--
kwekkebekken,v,--
kwekken,v,--
kwellen,v,--
kwestie,n,-
kwestieus,a,--
kwetsbaar,a,-
kwetsen,v,--
kwetteren,v,--
kwezel,n,--
kwezelarij,n,--
kwibus,n,--
kwiek,a,++
kwijnend,a,-
laag,a,-
laag,n,-
laaghartig,a,--
laaiend,a,--
laakbaar,a,--
labbekak,n,--
labiel,a,--
lachen,v,++
laconiek,a,--
lacune,n,-
lacuneus,a,+
lady-like,a,+
ladylike,a,+
laf,a,--
laks,a,--
lam,a,-
lam,n,-
lame,n,--
lamentabel,a,--
lamenteren,v,-
lamgat,n,--
lamheid,n,--
lamlendig,a,--
lammeling,n,--
lamstraal,n,--
lamzak,n,--
lamzalig,a,--
lanceren,v,+
landerig,a,--
landerigheid,n,-
landrat,n,--
langdradig,a,--
langzaam,a,-
lanterfant,n,--
lanterfanter,n,--
lapzwans,n,--
larie,n,--
lariekoek,n,--
larmoyant,a,+
last,n,--
laster,n,--
lasterlijk,a,--
lastgever,n,--
lastig,a,--
lastpak,n,--
lauw,a,--
lawaaimaker,n,--
lawaaischopper,n,--
lazarus,a,-
lazeren,v,--
lazersteen,n,--
leed,n,--
leefbaar,a,++
leeg,a,-
leeghoofd,n,--
leeglopen,v,-
leegloper,n,-
leegte,n,-
leek,n,-
leemte,n,-
leep,a,--
leepheid,n,-
leerzaam,a,++
leesbaar,a,++
leeuw,n,-
leeuwenkuil,n,--
lef,n,++
lefgozer,n,++
legioen,n,-
leider,n,+
leidersfiguur,n,+
lek,n,-
lekkage,n,-
lekker,a,++
lekkernij,n,+
lekkers,n,+
lelijk,a,--
lelijkerd,n,--
lelijkheid,n,--
lellen,v,-
lenigheid,n,+
leprozenhuis,n,-
leraar,n,+
lessen,v,+
lethargie,n,--
lethargisch,a,--
leugen,n,--
leugenaar,n,--
leugenachtig,a,--
leuk,a,++
leunen,v,+
leuren,v,-
leuteren,v,--
leuterkoek,n,--
leuterpraat,n,--
leutig,a,--
leven,n,+
levendig,a,++
levendigheid,n,++
levensader,n,+
levenservaring,n,++
levensgenieter,n,++
levenskracht,n,++
levenskrachtig,a,++
levenskunstenaar,n,+
levenslang,a,--
levensstandaard,n,+
levensvatbaarheid,n,+
liberalisme,n,+
licht,a,+
licht,n,++
lichtgelovig,a,-
lichtvoetig,a,++
lief,n,++
liefdadigheid,n,+
liefde,n,+
liefdeloos,a,--
liefelijk,a,++
liefelijkheid,n,++
liefhebben,v,+
liefhebber,n,++
liefhebberen,v,++
liefje,n,++
lieflijkheid,n,++
liefste,n,++
lieftallig,a,++
liegen,v,-
lieveling,n,++
lieverd,n,++
lieverdje,n,++
lift,n,+
lijden,n,-
lijden,v,--
lijdensweg,n,--
lijder,n,+
lijfeigene,n,-
lijnrecht,a,-
lijp,a,--
lijp,n,-
lijpo,n,--
lijvig,a,-
lispelen,v,-
list,n,+
listig,a,+
litanie,n,--
litteken,n,-
lobbesachtig,a,+
loeder,n,--
loeier,n,-
loeigoed,a,++
loffelijk,a,++
lofwaardig,a,++
lol,n,++
lolbroekerij,n,+
lolmaker,n,++
lomperd,n,--
lomperik,n,--
lonend,a,++
loon,n,+
losbandig,a,-
losbol,n,-
loser,n,--
losgaan,v,+
losgeslagen,a,--
loshoofd,n,--
losjes,a,+
losraken,v,-
louche,a,--
loven,v,++
lovenswaardig,a,++
lover,n,++
loyaliteit,n,++
luchthart-treurniet,n,+
luchthartig,a,++
luchtig,a,+
lucratief,a,-
luguber,a,--
lui,a,--
lui,n,--
luiaard,n,--
luister,n,+
luistervink,n,-
luizig,a,--
lul,n,--
lulhannes,n,--
lulkoek,n,--
lullen,v,--
lulletje,n,--
lullig,a,--
lummel,n,--
lust,n,+
lusteloos,a,--
lusteloosheid,n,--
luxe,a,++
luxe,n,++
luxeuitvoering,n,+
luxueus,a,-
maagkatheter,n,-
maagsonde,n,-
maalsteen,n,-
macho,n,--
machteloos,a,-
machtspreuk,n,-
machtswellusteling,n,--
maf,a,--
maffialid,n,--
maffioso,n,--
mafkees,n,--
mafketel,n,--
mafkikker,n,--
mager,a,-
magertjes,a,--
magistraat,n,+
majesteit,n,+
maker,n,++
makkelijk,a,+
makker,n,++
mal,n,--
malaise,n,--
malheur,n,--
malicieus,a,?
maligne,a,-
malloot,n,--
mallotig,a,--
mamma-amputatie,n,--
manco,n,--
maniak,n,--
manie,n,--
manifest,a,+
manipulatie,n,--
manipuleren,v,--
manisch,a,-
mankeren,v,-
manwijf,n,--
marginaal,a,++
marionet,n,-
martelaar,n,++
martelaarschap,n,-
martelaarsgezicht,n,+
martelen,v,--
mateloos,a,--
materialisme,n,-
materialist,n,--
matig,a,--
matiging,n,+
maximaliseren,v,+
mazen,v,-
mazzel,n,++
mazzelaar,n,+
mazzelkont,n,++
mededogen,n,++
medelander,n,+
medeleven,n,++
medeplichtig,a,--
mediocre,a,-
meedoen,v,+
meedogenloos,a,--
meelijwekkend,a,--
meester,n,+
meesteres,n,+
meesterlijk,a,++
meesterschap,n,++
meevoelen,v,+
meewerken,v,+
mefistofelisch,a,-
meid,n,-
melancholie,n,-
melodieus,a,++
meningsverschil,n,-
menselijkheid,n,+
mensenmassa,n,-
mensenschuw,a,--
mensenzee,n,-
mentor,n,+
merkwaardig,a,-
mes,n,-
mesjoche,a,--
mesjokke,a,--
meute,n,-
middelen,v,+
middelmatig,a,-
middelmatigheid,n,-
middenweg,n,+
miereneuker,n,--
mierenneuker,n,--
miesgasser,n,-
mieters,a,--
mietje,n,--
miezerig,a,--
mijnengevaar,n,--
mijnheer,n,+
mijnopruimingsdienst,n,-
mild,a,+
miljonair,n,+
miltontsteking,n,-
minachting,n,--
minder,a,--
minder-valide,a,-
minderbedeelde,n,-
mindere,n,--
mindervalide,a,-
minderwaardig,a,--
minimumloner,n,--
minkukel,n,--
minnaar,n,-
minnen,v,+
minpunt,n,--
minutieus,a,++
miosis,n,-
mirakels,a,+
mis,a,-
misbruik,n,--
misdeelde,n,-
misdragen,v,--
misdraging,n,--
misdrijf,n,--
miserabel,a,-
miserie,n,--
misfit,n,-
misgreep,n,--
misgrijpen,v,-
mishagen,n,--
mishandeling,n,--
miskleun,n,--
misleiden,v,-
misleiding,n,--
mislukking,n,--
misplaatst,a,--
misprijzen,n,--
mispunt,n,--
misrekenen,v,--
misrekening,n,--
misselijk,a,-
misselijkmakend,a,--
missen,v,-
misser,n,--
misslag,n,--
mistrouwig,a,--
misvatting,n,--
misverstand,n,-
misère,n,-
mobiliteit,n,+
modaal,a,+
modderig,a,-
modereren,v,-
modern,a,++
modieus,a,++
moed,n,++
moeder,n,+
moederlief,n,++
moedig,a,++
moeheid,n,-
moeial,n,-
moeilijk,a,-
moeite,n,-
moeiteloos,a,++
moeitevol,a,-
moeizaam,a,--
moeke,n,-
moeras,n,-
moerasdamp,n,-
moerhaas,n,--
moes,n,-
moeten,v,-
moffelen,v,-
mokkel,n,-
mompelen,v,-
mondigheid,n,+
monotonie,n,-
monster,n,-
monumentaal,a,++
mooi,a,++
moord,n,-
moorddadig,a,--
moordenaar,n,-
moordtuig,n,--
mop,n,+
mopperaar,n,--
mopperen,v,--
mopperkont,n,--
mopperpot,n,--
moraliseren,v,-
moralisme,n,-
moraliteit,n,+
morbide,a,?
morsen,v,-
mot,n,-
motivatie,n,+
motiveren,v,+
motivering,n,+
motten,v,--
moven,v,-
muggenzifter,n,--
muggeziften,v,--
muggezifter,n,-
murmelen,v,--
murw,a,-
mysterieus,a,+
mystiekerig,a,-
mystificatie,n,-
mythe,n,-
naam,n,+
naar,a,--
naargeestig,a,--
naarling,n,--
naarstig,a,-
naast,a,-
nababbelen,v,+
nachtmerrie,n,--
nadeel,n,-
nadelig,a,--
nadenken,v,+
naieveling,n,--
nakomen,v,+
nalatig,a,--
nalatigheid,n,--
naleven,v,+
nar,n,-
nasi,n,--
nationalisme,n,-
natuurlijk,a,+
nauw,n,-
nauwgezet,a,++
nauwkeurig,a,++
naïef,a,--
nederig,a,-
nederigheid,n,+
nederlaag,n,--
neerslachtig,a,--
neerslachtigheid,n,--
neerslag,n,-
neervellen,v,-
neervlijen,v,+
negatie,n,-
negatief,n,--
negeren,v,-
nek-aan-nekrace,n,+
nekkramp,n,-
nemen,v,-
nemesis,n,--
neokolonialisme,n,--
neonazi,n,--
nep,n,--
nero,n,-
nerveus,a,--
nervositeit,n,-
netjes,a,++
neuken,v,-
neurotisch,a,--
neuskegel,n,-
neutraliseren,v,-
neuzelen,v,--
neveneffect,n,-
nichtenrock,n,--
niet,n,--
niet-ingezetene,n,-
nietsbetekenend,a,--
nietsnut,n,--
nieuwjaarsbijeenkomst,n,+
nieuwsgierig,a,++
nijd,n,-
nijdig,a,--
niksnakker,n,--
niksnut,n,--
nirvana,n,++
nitwit,n,?
nix,n,-
nodeloos,a,--
nodig,a,+
nokken,v,-
nonchalant,a,+
nonsens,n,--
nood,n,-
noodhulp,n,-
noodlottig,a,--
normaal,n,+
notabel,a,++
nut,n,+
nutteloos,a,--
nuttig,a,++
o.k.,a,++
object,n,-
objectief,n,+
obsceen,a,--
obsceniteit,n,--
obscuriteit,n,-
obscuur,a,+
obsederen,v,--
obsessie,n,--
obstakel,n,-
obstinaat,a,?
oelewapper,n,--
oen,n,--
oersaai,a,--
oervervelend,a,--
oetlul,n,--
offensief,n,--
offer,n,-
offeren,v,-
offreren,v,++
okay,a,+
okido,a,++
oké,a,++
old-timer,n,+
oliebol,n,-
ombrengen,v,-
omhaal,n,-
omhaling,n,+
omhelzen,v,+
omissie,n,--
omkomen,v,--
omkoopbaar,a,--
omlaag,b,-
omliggen,v,-
omschieten,v,-
omschoppen,v,--
omslachtig,a,--
omsluieren,v,-
omtuimelen,v,-
omvallen,v,-
omverschoppen,v,-
onaandoenlijk,a,--
onaangenaam,a,--
onaangenaamheden,n,--
onaangenaamheid,n,--
onaantrekkelijk,a,--
onaanvaardbaar,a,--
onaanzienlijk,a,--
onaardig,a,--
onachtzaam,a,--
onafhankelijkheid,n,+
onaneren,v,-
onappetijtelijk,a,--
onbaatzuchtig,a,++
onbarmhartig,a,--
onbeduidend,a,-
onbeduidendheid,n,--
onbegeerd,a,--
onbegrijpelijk,a,--
onbegrip,n,-
onbehaaglijk,a,-
onbehagen,n,--
onbehendig,a,--
onbeholpen,a,--
onbehoorlijkheid,n,--
onbekend,a,-
onbekendheid,n,-
onbekwaam,a,--
onbekwaamheid,n,--
onbelangrijk,a,-
onbeleefd,a,--
onbelemmerd,a,+
onbenul,n,-
onbenulligheid,n,--
onbeperkt,a,+
onberedeneerd,a,--
onberispelijk,a,++
onberoerd,a,+
onbeschaafd,a,--
onbeschaamd,a,--
onbescheiden,a,-
onbeschrijfelijk,a,-
onbetaalbaar,a,--
onbetamelijk,a,--
onbetamelijkheid,n,--
onbetekenend,a,--
onbeteugeld,a,-
onbetrouwbaar,a,--
onbetrouwbaarheid,n,--
onbetwistbaar,a,+
onbevoegde,n,-
onbevoegdheid,n,-
onbevredigend,a,--
onbezwaard,a,+
onbillijk,a,--
onbillijkheid,n,--
onbuigbaarheid,n,-
onbuigzaam,a,--
oncomfortabel,a,--
onconventioneel,a,-
ondankbaar,a,--
ondankbaarheid,n,--
ondenkbaar,a,-
onderbreking,n,-
onderbroekelol,n,-
onderbroken,a,-
onderdak,n,+
onderdeur,n,--
onderdeurtje,n,--
onderdoen,v,-
onderdrukken,v,+
onderdrukking,n,--
ondergaan,v,-
ondergang,n,--
ondergeschikt,a,--
ondergeschikte,n,--
ondergewaardeerd,a,--
ondergraven,v,--
ondergronds,a,-
onderhoudend,a,++
onderkruiper,n,--
onderkruipsel,n,--
onderlegd,a,++
ondermaats,a,--
ondermijnen,v,-
ondernemend,a,++
ondernemer,n,+
onderschatten,v,-
onderschatting,n,-
onderscheidend,a,+
ondersteunen,v,++
onderuitgaan,v,--
ondervoed,a,-
onderwerpen,v,-
onderwerping,n,--
onderworpen,a,-
ondeskundig,a,--
ondeugdelijk,a,--
ondeugend,a,-
ondienstig,a,--
ondoelmatigheid,n,--
ondoordringbaar,a,--
ondoorzichtig,a,+
ondubbelzinnig,a,++
onduidelijk,a,--
oneerbaar,a,--
oneerlijk,a,--
oneerlijkheid,n,--
oneetbaar,a,--
oneigenlijk,a,-
onenigheid,n,-
onervaren,a,--
